ASV,Dry_F_1,Dry_F_2,Dry_F_3,Dry_F_4,Dry_F_5,Dry_N_1,Dry_N_2,Dry_N_3,Dry_N_4,Dry_N_5,Wet_F_1,Wet_F_2,Wet_F_3,Wet_F_4,Wet_F_5,Wet_N_1,Wet_N_2,Wet_N_3,Wet_N_4,Wet_N_5
ASV_0291,0,0,0,0,4,3,0,1,0,0,2,4,6,1,2,0,0,0,0,3
ASV_0292,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0293,0,0,0,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,0
ASV_0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
ASV_0295,0,18,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0
ASV_0296,0,10,4,0,0,1,5,0,0,2,4,0,0,0,0,0,0,0,0,0
ASV_0297,0,1,1,5,5,0,2,1,3,0,5,0,0,1,0,2,0,0,0,0
ASV_0298,0,0,0,0,0,0,3,0,0,0,0,2,3,5,0,0,1,8,4,0
ASV_0299,3,2,0,1,0,2,0,0,2,1,3,1,1,3,0,2,1,2,2,0
ASV_0300,1,0,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ASV_0301,8,0,0,0,2,2,0,0,0,0,0,2,0,3,1,0,0,0,5,2
ASV_0302,1,3,0,0,5,1,3,2,2,2,1,0,2,3,0,0,0,0,0,0
ASV_0303,1,0,0,0,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,6
ASV_0304,0,4,5,0,0,0,1,1,0,0,4,5,1,1,0,0,2,1,0,0
ASV_0305,0,2,0,19,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
ASV_0306,7,0,1,3,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0307,0,0,0,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
ASV_0308,2,0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,1
ASV_0309,0,0,0,1,0,2,4,1,1,1,2,2,0,10,0,0,0,0,0,0
ASV_0310,0,0,0,3,0,5,0,3,0,1,4,0,2,0,4,0,0,1,1,0
ASV_0311,0,0,1,3,2,2,3,0,4,5,0,1,0,0,2,0,1,0,0,0
ASV_0312,1,0,2,0,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0
ASV_0313,0,0,0,0,0,1,0,0,0,0,0,0,3,10,0,0,0,3,6,1
ASV_0314,1,1,1,1,0,0,1,2,4,0,0,0,3,1,0,1,0,8,0,0
ASV_0315,11,1,0,3,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_0316,3,0,0,0,4,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0
ASV_0317,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,7,10,0,0,0
ASV_0318,2,1,3,1,1,4,1,0,0,0,0,1,0,2,0,1,0,5,2,0
ASV_0319,0,0,4,1,0,0,0,1,0,0,0,1,0,4,0,5,3,3,1,1
ASV_0320,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ASV_0321,0,1,0,0,1,1,1,0,0,0,4,2,5,5,0,1,0,1,0,2
ASV_0322,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0
ASV_0323,0,0,2,2,0,2,0,1,1,0,0,5,3,3,1,1,2,1,0,0
ASV_0324,3,7,0,0,4,0,1,0,0,1,0,2,0,2,1,0,1,2,0,0
ASV_0325,0,0,4,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
ASV_0326,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,11,4,2
ASV_0327,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,19
ASV_0328,0,0,0,0,0,2,0,0,0,0,2,2,7,1,4,3,1,0,0,1
ASV_0329,2,0,0,1,0,8,3,1,3,0,0,0,0,0,2,1,0,0,0,2
ASV_0330,0,0,0,0,0,1,0,0,0,0,0,7,9,3,0,0,3,0,0,0
ASV_0331,0,0,0,0,0,0,0,0,0,0,5,2,3,8,0,4,1,0,0,0
ASV_0332,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,2,16,0
ASV_0333,0,0,0,1,0,1,1,1,0,0,4,0,2,6,0,0,0,4,2,1
ASV_0334,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
ASV_0335,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,0,12,3,0
ASV_0336,0,7,2,0,0,0,5,0,2,0,0,0,0,3,0,0,0,0,3,0
ASV_0337,0,0,3,2,1,0,0,4,2,0,0,0,0,0,1,0,0,0,0,9
ASV_0338,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0
ASV_0339,0,0,0,0,0,0,1,0,0,0,1,0,9,3,3,0,4,1,0,0
ASV_0340,4,0,0,0,2,9,2,0,1,0,0,0,0,1,0,0,2,1,0,0
ASV_0341,0,2,8,2,0,0,3,2,1,1,0,1,0,2,0,0,0,0,0,0
ASV_0342,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0343,0,0,0,3,0,7,0,0,3,0,3,0,2,0,0,0,0,2,2,0
ASV_0344,0,4,1,1,0,0,2,1,1,0,1,1,0,6,3,0,1,0,0,0
ASV_0345,0,0,1,2,0,1,0,0,0,0,4,1,5,1,2,3,1,0,0,1
ASV_0346,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0347,1,0,1,0,1,2,0,0,0,0,0,2,5,3,2,2,2,0,0,0
ASV_0348,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,2,0,0,0,3
ASV_0349,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,16,0,0
ASV_0350,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,11,1,0,0,0
ASV_0351,11,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,2
ASV_0352,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0353,1,0,0,0,0,0,0,0,0,0,2,2,3,8,0,2,3,0,0,0
ASV_0354,3,0,0,3,0,0,0,0,0,0,0,1,6,6,0,0,0,2,0,0
ASV_0355,4,1,1,2,1,0,1,1,2,2,3,1,0,0,0,0,0,2,0,0
ASV_0356,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0357,0,0,0,1,0,1,0,0,0,0,1,12,3,0,0,0,0,3,0,0
ASV_0358,2,0,0,0,0,7,1,1,0,0,0,0,0,2,1,3,0,0,0,4
ASV_0359,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
ASV_0360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
ASV_0361,3,0,2,2,1,7,0,4,0,0,0,0,0,1,1,0,0,0,0,0
ASV_0362,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV_0363,0,0,0,0,2,0,0,0,0,2,0,13,0,1,2,0,0,0,0,0
ASV_0364,0,0,0,1,3,0,0,0,0,0,5,2,2,0,0,0,1,4,2,0
ASV_0365,0,0,0,1,0,0,1,1,1,0,1,7,0,5,1,0,1,1,0,0
ASV_0366,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,6,1,1,0,0
ASV_0367,0,2,0,5,3,0,1,0,2,4,0,0,0,0,0,0,0,0,0,3
ASV_0368,3,0,0,2,1,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ASV_0369,0,0,0,0,0,7,8,0,4,1,0,0,0,0,0,0,0,0,0,0
ASV_0370,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
ASV_0371,0,3,0,2,1,0,2,11,0,0,0,0,0,0,1,0,0,0,0,0
ASV_0372,1,3,2,1,0,5,5,1,0,0,0,0,2,0,0,0,0,0,0,0
ASV_0373,0,1,0,1,0,0,4,2,2,1,0,0,1,0,1,2,0,1,0,4
ASV_0374,5,1,3,0,0,6,1,1,0,0,1,1,0,0,0,0,0,0,0,1
ASV_0375,4,0,4,0,0,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0
ASV_0376,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,2,3,0,0,2
ASV_0377,0,0,3,0,2,0,1,0,0,12,0,1,0,0,0,0,0,0,0,0
ASV_0378,0,0,1,1,0,0,0,0,0,0,0,6,0,8,0,0,0,1,0,2
ASV_0379,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ASV_0380,0,0,0,1,1,2,2,0,0,1,2,2,1,1,1,0,0,1,2,2
ASV_0381,2,0,0,0,2,0,0,0,1,0,1,1,3,0,1,0,1,7,0,0
ASV_0382,0,0,3,4,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0
ASV_0383,0,0,0,0,0,0,0,2,0,0,10,1,0,0,0,0,0,4,2,0
ASV_0384,0,1,0,0,0,4,3,0,0,1,0,3,5,2,0,0,0,0,0,0
ASV_0385,0,0,0,0,0,0,0,0,0,0,8,0,3,0,7,0,1,0,0,0
ASV_0386,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0
ASV_0387,0,0,0,0,0,1,0,0,3,1,2,0,2,0,0,1,0,5,0,4
ASV_0388,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,1,1,11,0,0
ASV_0389,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ASV_0390,0,0,0,0,0,0,0,0,0,0,0,0,13,3,2,0,1,0,0,0
ASV_0391,0,3,0,7,1,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0
ASV_0392,0,0,1,5,0,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0
ASV_0393,0,0,1,1,3,1,1,1,1,7,0,0,0,0,2,0,0,0,0,1
ASV_0394,0,2,0,1,1,0,1,1,0,0,0,0,1,4,1,2,0,1,0,4
ASV_0395,8,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASV_0396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ASV_0397,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,11,0,0
ASV_0398,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0399,0,0,1,5,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0
ASV_0400,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,4,3,1,0,0
ASV_0401,2,1,0,3,0,0,2,2,0,0,0,0,0,1,3,0,0,0,1,3
ASV_0402,0,0,8,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2
ASV_0403,0,0,0,0,2,1,0,0,0,0,0,4,1,10,0,0,0,0,0,0
ASV_0404,2,3,0,0,0,0,0,0,1,0,0,1,4,2,0,1,2,0,0,2
ASV_0405,1,2,0,0,0,0,0,0,0,0,4,1,3,2,1,1,2,0,1,0
ASV_0406,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,3,0,0,11
ASV_0407,0,0,0,0,0,2,0,0,0,0,0,1,0,4,5,0,2,2,0,1
ASV_0408,1,0,0,1,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0
ASV_0409,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,4,2,0,0,0
ASV_0410,0,0,0,0,0,0,0,0,0,1,1,3,7,3,1,1,0,0,0,0
ASV_0411,0,1,0,4,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_0412,0,0,0,1,0,0,0,3,3,0,0,1,0,0,1,2,5,0,0,1
ASV_0413,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,14,0,0,0
ASV_0414,1,0,3,3,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0415,0,0,4,2,3,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0
ASV_0416,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV_0417,0,2,0,2,1,2,7,0,2,1,0,0,0,0,0,0,0,0,0,0
ASV_0418,0,1,0,0,0,3,0,1,1,0,2,0,0,1,2,0,0,5,1,0
ASV_0419,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,13,0,0
ASV_0420,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0,10,0,0
ASV_0421,0,0,4,0,0,2,0,0,0,0,9,0,0,0,0,0,1,0,0,1
ASV_0422,0,0,0,0,0,0,0,0,0,0,6,1,5,1,0,0,0,1,3,0
ASV_0423,0,0,1,11,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0424,0,1,7,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0
ASV_0425,4,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,0,5
ASV_0426,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,0,0,1
ASV_0427,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
ASV_0428,1,3,2,1,0,1,3,0,1,0,1,0,2,0,0,1,0,1,0,0
ASV_0429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15
ASV_0430,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,3,4,0,0,2
ASV_0431,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0432,0,7,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0
ASV_0433,0,0,0,0,0,0,0,0,0,2,0,1,11,0,0,0,0,2,0,0
ASV_0434,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,0,0,0,0,0
ASV_0435,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,2,0,0,0
ASV_0436,1,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,1,1,0,7
ASV_0437,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0438,0,1,0,0,0,2,0,0,2,0,4,0,0,1,0,0,1,0,0,5
ASV_0439,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
ASV_0440,0,0,1,0,0,3,0,0,0,0,2,0,4,0,0,2,1,1,0,2
ASV_0441,0,0,3,4,2,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0
ASV_0442,0,2,0,0,2,2,0,4,5,0,0,0,0,0,1,0,0,0,0,0
ASV_0443,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,4,6,0,0
ASV_0444,5,0,1,1,1,0,3,1,1,2,0,1,0,0,0,0,0,0,0,0
ASV_0445,1,0,0,1,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,1
ASV_0446,0,1,0,1,0,3,2,0,0,0,0,0,1,2,0,5,0,0,0,1
ASV_0447,3,1,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0448,0,1,0,0,5,0,0,0,0,0,0,1,1,3,0,0,1,0,0,4
ASV_0449,0,0,5,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0450,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,11
ASV_0451,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,6,0,1,0,3
ASV_0452,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0453,0,0,0,9,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
ASV_0454,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
ASV_0455,0,0,0,1,0,1,0,0,0,2,0,3,0,3,1,0,0,0,0,4
ASV_0456,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,1
ASV_0457,1,0,1,4,1,1,1,1,0,0,0,3,0,0,0,0,2,0,0,0
ASV_0458,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0
ASV_0459,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
ASV_0460,0,0,0,0,0,0,0,0,2,0,2,1,4,0,0,1,4,1,0,0
ASV_0461,0,9,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0
ASV_0462,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,6,0,0
ASV_0463,2,0,0,0,1,0,0,0,0,0,6,0,1,0,0,2,2,0,1,0
ASV_0464,0,0,0,1,0,4,1,0,0,0,0,1,1,0,1,1,1,2,0,2
ASV_0465,0,2,3,2,0,0,2,3,1,0,0,0,0,0,0,2,0,0,0,0
ASV_0466,0,0,3,1,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,3
ASV_0467,0,1,0,1,1,2,1,1,2,3,0,0,0,2,0,0,0,0,0,1
ASV_0468,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_0469,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0
ASV_0470,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,3,0
ASV_0471,5,0,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ASV_0472,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,0,1
ASV_0473,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0474,1,7,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
ASV_0475,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0
ASV_0476,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0
ASV_0477,0,0,0,2,0,0,9,2,0,2,0,0,0,0,0,0,0,0,0,0
ASV_0478,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0479,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,3,0,0,1
ASV_0480,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASV_0481,0,1,2,2,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,1
ASV_0482,1,0,0,0,0,0,0,0,0,0,7,0,0,1,1,4,0,0,0,0
ASV_0483,1,0,0,0,1,4,0,0,0,0,1,0,4,1,0,0,1,1,0,0
ASV_0484,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,1,0
ASV_0485,0,7,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1
ASV_0486,0,1,0,2,2,1,2,0,0,0,0,0,2,2,0,0,0,0,0,2
ASV_0487,2,1,0,0,0,0,2,0,0,0,1,2,2,0,0,1,0,2,1,0
ASV_0488,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,1,1,2,1,0
ASV_0489,0,2,1,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASV_0490,3,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0491,0,5,0,1,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
ASV_0492,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0493,0,2,0,0,0,2,1,0,0,0,2,0,0,0,1,1,0,0,5,0
ASV_0494,0,0,0,3,2,2,0,0,1,1,0,0,1,0,2,2,0,0,0,0
ASV_0495,2,0,1,0,0,1,0,2,2,0,2,0,0,0,1,0,0,0,2,1
ASV_0496,2,0,0,2,0,0,1,0,0,0,0,1,1,6,0,1,0,0,0,0
ASV_0497,0,0,0,0,0,6,6,0,0,0,0,0,1,0,0,0,0,0,0,1
ASV_0498,0,5,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2
ASV_0499,1,1,0,0,0,1,1,1,2,0,0,2,1,3,0,0,0,0,0,1
ASV_0500,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,4,1
ASV_0501,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,0,0,0,2
ASV_0502,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0
ASV_0503,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0504,0,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0,1,0,0,0
ASV_0505,2,2,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,3
ASV_0506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
ASV_0507,0,0,0,2,1,1,2,1,0,0,2,1,0,1,0,0,0,0,0,3
ASV_0508,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0
ASV_0509,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0510,0,0,0,2,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ASV_0511,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,4,0,0,0,0
ASV_0512,1,0,0,0,0,0,1,0,0,0,2,0,6,0,0,2,1,0,0,0
ASV_0513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
ASV_0514,0,1,0,1,1,0,1,0,0,0,2,1,0,1,0,1,0,1,0,3
ASV_0515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
ASV_0516,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0
ASV_0517,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,1,0,0,0,0
ASV_0518,0,0,0,0,1,1,0,0,0,0,3,0,0,2,0,0,0,6,0,0
ASV_0519,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2,0,2,0,3
ASV_0520,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1
ASV_0521,1,0,0,2,0,1,1,0,0,0,0,1,1,5,1,0,0,0,0,0
ASV_0522,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0523,0,0,0,0,1,0,0,0,0,0,2,1,1,3,3,0,1,0,0,1
ASV_0524,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,2,0,0
ASV_0525,2,3,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ASV_0526,0,2,0,0,0,0,2,0,2,1,2,0,1,0,0,1,1,0,0,1
ASV_0527,1,0,1,0,0,1,0,0,0,2,1,2,0,2,0,0,0,1,2,0
ASV_0528,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
ASV_0529,0,2,0,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_0530,0,1,0,2,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV_0531,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,4,0,3,2,0
ASV_0532,3,2,0,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV_0533,0,1,0,1,0,1,0,0,4,1,0,0,0,1,1,0,1,0,1,1
ASV_0534,0,1,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0
ASV_0535,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,0,3,0,1
ASV_0536,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,4,0,0,0,1
ASV_0537,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
ASV_0538,0,3,0,4,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0
ASV_0539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASV_0540,5,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ASV_0541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
ASV_0542,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,2,0,0,0,1
ASV_0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9
ASV_0544,0,0,3,0,0,0,0,0,0,0,1,0,2,3,2,0,1,0,0,0
ASV_0545,0,0,1,3,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0
ASV_0546,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASV_0547,7,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV_0548,0,0,1,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0
ASV_0549,0,0,0,5,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
ASV_0550,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0
ASV_0551,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0552,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,3,2,0
ASV_0553,2,0,0,2,0,0,2,1,0,0,1,0,0,1,2,0,1,0,0,0
ASV_0554,0,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,1,0
ASV_0555,0,0,1,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0
ASV_0556,1,0,0,0,0,0,0,0,1,0,0,1,0,3,2,1,1,1,0,1
ASV_0557,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,4,2
ASV_0558,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0559,0,0,5,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
ASV_0560,0,0,0,1,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ASV_0561,1,1,1,2,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0
ASV_0562,0,0,0,0,0,2,0,0,0,0,1,3,0,3,3,0,0,0,0,0
ASV_0563,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ASV_0564,0,0,0,0,0,0,0,0,0,0,4,0,6,2,0,0,0,0,0,0
ASV_0565,1,0,0,3,0,0,0,0,0,2,3,0,0,1,0,0,0,1,1,0
ASV_0566,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0567,0,2,3,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1
ASV_0568,5,0,0,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
ASV_0569,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,5
ASV_0570,0,1,0,1,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
ASV_0571,0,2,0,0,1,0,2,1,0,0,0,1,1,1,0,0,0,1,1,1
ASV_0572,0,2,1,0,0,2,1,1,1,0,1,0,0,2,0,0,0,0,1,0
ASV_0573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
ASV_0574,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,5,0,0
ASV_0575,0,6,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0
ASV_0576,4,0,0,0,1,0,1,0,3,0,1,1,0,0,0,0,0,0,0,1
ASV_0577,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0
ASV_0578,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0
ASV_0579,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
ASV_0580,0,1,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0
ASV_0581,0,0,2,0,1,0,0,0,2,0,0,0,0,1,2,0,2,0,0,2
ASV_0582,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
ASV_0583,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
ASV_0584,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,0,1,0,0,0
